No.,Time,Source,Destination,Protocol,Length,NOT HACKED,TIME_DIFF,RESULT
1,0,fe:2e:5a:3b:c4:14,CloudNet_be:73:f5,ARP,42,Who has 192.168.164.1? Tell 192.168.164.232,0.000098,HACKED
2,0.000098,CloudNet_be:73:f5,fe:2e:5a:3b:c4:14,ARP,42,192.168.164.1 is at ac:50:de:be:73:f5,0.011513,NOT HACKED
3,0.011611,fe:2e:5a:3b:c4:14,CloudNet_be:73:f5,ARP,42,Who has 192.168.164.1? Tell 192.168.164.232,0,HACKED
4,0.011611,192.168.164.87,192.168.164.1,TCP,54,"59478  >  5500 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0",0,HACKED
5,0.011611,192.168.164.87,192.168.164.1,TCP,66,59479  >  5500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,9.4E-05,HACKED
6,0.011705,CloudNet_be:73:f5,fe:2e:5a:3b:c4:14,ARP,42,192.168.164.1 is at ac:50:de:be:73:f5,0.000485,HACKED
7,0.01219,192.168.164.1,192.168.164.87,TCP,66,"5500  >  59479 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM",9.9E-05,HACKED
8,0.012289,192.168.164.1,192.168.164.87,TCP,54,5500  >  59478 [ACK] Seq=1 Ack=2 Win=4100 Len=0,0.000237,HACKED
9,0.012526,192.168.164.1,192.168.164.87,TCP,54,"5500  >  59478 [FIN, ACK] Seq=1 Ack=2 Win=4100 Len=0",0.007837,NOT HACKED
10,0.020363,192.168.164.87,192.168.164.1,TCP,54,59479  >  5500 [ACK] Seq=1 Ack=1 Win=131328 Len=0,0,HACKED
11,0.020363,192.168.164.87,192.168.164.1,TCP,54,59478  >  5500 [ACK] Seq=2 Ack=2 Win=513 Len=0,0.292988,NOT HACKED
12,0.313351,192.168.164.38,192.168.164.1,ICMP,98,"Echo (ping) request  id=0x03e8, seq=1/256, ttl=63 (no response found!)",0,HACKED
13,0.313351,192.168.164.87,192.168.164.1,TCP,114,59125  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
14,0.313351,192.168.164.87,192.168.164.1,TCP,114,59096  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
15,0.313351,192.168.164.87,192.168.164.1,TCP,114,59111  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
16,0.313351,192.168.164.87,192.168.164.1,TCP,114,59142  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
17,0.313351,192.168.164.87,192.168.164.1,TCP,114,59086  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
18,0.313351,192.168.164.87,192.168.164.1,TCP,114,59137  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
19,0.313351,192.168.164.87,192.168.164.1,TCP,114,59122  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
20,0.313351,192.168.164.87,192.168.164.1,TCP,114,59103  >  1000 [SYN] Seq=0 Win=64 Len=60,0.000465,HACKED
21,0.313816,192.168.164.87,192.168.164.1,TCP,114,59115  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
22,0.313816,192.168.164.87,192.168.164.1,TCP,114,59100  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
23,0.313816,192.168.164.87,192.168.164.1,TCP,114,59098  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
24,0.313816,192.168.164.87,192.168.164.1,TCP,114,59109  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
25,0.313816,192.168.164.87,192.168.164.1,TCP,114,59105  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
26,0.313816,192.168.164.87,192.168.164.1,TCP,114,59120  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
27,0.313816,192.168.164.87,192.168.164.1,TCP,114,59092  >  1000 [SYN] Seq=0 Win=64 Len=60,0,HACKED
